row_type,pv,task,group,metric,replicate,estimate,full_estimate,valid_replicates,failed_replicates,sampling_variance,sampling_standard_error
replicate,PV1MATH,classification,contrast,ece_difference,4.0,0.03698547163315424,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,4.0,0.04093304228829753,,,,,
replicate,PV1MATH,regression,global,rmse,5.0,61.240780969625206,,,,,
replicate,PV1MATH,regression,global,r2,5.0,0.6208017169564419,,,,,
replicate,PV1MATH,classification,global,auc,5.0,0.8841886261665584,,,,,
replicate,PV1MATH,classification,global,brier,5.0,0.13779049823775877,,,,,
replicate,PV1MATH,classification,global,ece,5.0,0.03246884630773075,,,,,
replicate,PV1MATH,classification,global,calibration_slope,5.0,0.7821630915274358,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,5.0,0.8587203068952302,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,5.0,0.15349988599996142,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,5.0,0.07205644269532058,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,5.0,0.8650302645421654,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,5.0,0.8518400939909968,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,5.0,0.11006038404721023,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,5.0,0.03254566268622961,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,5.0,0.8076980616306833,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,5.0,0.0068802129042333515,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,5.0,0.039587596387589824,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,5.0,0.08286717301472957,,,,,
replicate,PV1MATH,regression,global,rmse,6.0,60.55452874979525,,,,,
replicate,PV1MATH,regression,global,r2,6.0,0.6205476444786474,,,,,
replicate,PV1MATH,classification,global,auc,6.0,0.8841725274338796,,,,,
replicate,PV1MATH,classification,global,brier,6.0,0.13698042024856127,,,,,
replicate,PV1MATH,classification,global,ece,6.0,0.03216954732142807,,,,,
replicate,PV1MATH,classification,global,calibration_slope,6.0,0.780990699426475,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,6.0,0.8585790366427828,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,6.0,0.1527828750788383,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,6.0,0.07102957874049673,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,6.0,0.8656066169864566,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,6.0,0.8567102376669936,,,,,
