query_index,baseline_prediction,base_ST004D01T,base_GRADE,base_AGE,base_ESCS,base_IMMIG,base_HISEI,base_PAREDINT,base_HOMEPOS,base_ANXMAT,base_MATHEFF,base_MATHEF21,base_MATHPERS,base_FAMCON,base_BELONG,base_BULLIED,base_FEELSAFE,base_SCHRISK,base_FAMSUP,base_DISCLIM,base_TEACHSUP,base_COGACRCO,base_COGACMCO,base_STUBEHA,base_TEACHBEHA,base_EDUSHORT,base_STAFFSHORT,base_ICTRES,base_ICTHOME,base_ICTSCH,base_ICTEFFIC,base_ICTINFO,base_ICTSUBJ,base_STUDYHMW
354530,0.5142749547958374,1.0,0.0,15.67,-0.8619,1.0,35.34,12.0,-0.3408,0.051,-0.5831,-0.0873,-0.2344,,0.3378,-1.228,-1.1108,1.18,0.6038,-0.322,-0.5635,-0.212,0.114,-2.1041,-2.0409,-1.4212,-1.4551,0.102,,,,,,6.0
188548,0.17263102531433105,0.0,0.0,16.17,0.5806,2.0,81.4,16.0,-0.5866,-0.2704,-0.7333,-0.0523,-1.129,0.648,-0.3485,0.1776,-0.756,-0.6386,-0.5811,-0.6732,-0.3322,-0.668,-2.0919,0.8153,0.3593,-0.4941,0.8371,-0.8932,,,,,,4.0
244281,0.8920141458511353,0.0,-1.0,15.92,-2.6468,1.0,29.47,6.0,-1.8958,,,-0.2877,-0.4436,,-0.4911,-1.228,-0.756,-0.6386,-0.6235,-0.3243,-1.0693,-0.5118,0.4062,-0.2105,-1.9767,0.0888,0.8401,-2.6927,,,,,,6.0
184552,0.9894601106643677,0.0,-1.0,16.17,-0.3808,-1.0,,16.0,-0.8624,0.3378,,,,,,2.3884,,,,,,,,1.0522,0.6101,-0.6884,0.8371,-1.5323,,,,,,-1.0
579664,0.8380067944526672,1.0,0.0,16.25,-1.1228,1.0,25.39,14.5,-1.5122,-0.5191,-1.6444,-0.653,-0.5523,0.654,0.1582,-1.228,1.1246,-0.6386,-1.3239,-0.8529,-0.3322,-0.057,0.4505,,,-0.2376,,,,,,,,10.0
563632,0.9631386399269104,0.0,1.0,16.17,0.4714,-1.0,,16.0,-1.4692,,,,,,,,,,,,,,,-0.8727,-1.2943,1.7737,0.3658,-1.7465,,,,,,-1.0
78554,0.825897753238678,1.0,0.0,15.42,-0.7074,1.0,71.39,12.0,-1.5832,,,,,,-1.2744,-0.3264,0.4361,-0.6386,,,,,,0.7444,1.0952,0.8373,0.6666,,,,,,,2.0
450311,0.9490724802017212,1.0,0.0,16.0,-2.2567,1.0,17.0,9.0,-1.6176,-2.382,-3.432,-2.1512,-2.8399,,1.4693,-1.228,1.1246,-0.6386,-2.5906,-0.3586,1.5558,-0.7573,-0.4101,3.5661,3.7879,1.6863,2.0884,-0.9048,-1.5118,-1.0247,0.0381,0.6984,0.371,3.0
401634,0.9816871285438538,0.0,-1.0,16.08,-2.3374,1.0,65.12,6.0,-2.7546,,,,,,1.4872,0.3631,0.1368,1.8634,,-0.7044,1.5558,0.1614,1.1663,1.0091,1.189,1.4783,1.2727,-2.269,0.3346,0.4062,-0.3155,1.5686,-1.5923,1.0
58761,0.6435895562171936,1.0,1.0,16.0,-1.4741,1.0,29.73,12.0,-1.5361,1.2041,-1.1029,0.1454,-0.2412,-0.3611,0.6428,-1.228,1.1246,0.5348,-0.5204,-0.5562,-2.9095,-0.6678,-1.9088,,,,,-1.6919,0.3346,0.4062,,-0.0366,-1.6381,1.0
265438,0.5241801738739014,0.0,0.0,15.25,0.3747,1.0,44.94,16.0,0.5526,0.6647,-2.094,-1.1184,-0.1133,-0.4021,1.4938,0.2988,1.1246,-0.4624,,0.1765,-0.3322,-1.2049,-0.9862,0.8956,-0.4415,-1.4212,0.1825,,0.3346,0.4062,-0.2094,-0.6714,-2.0101,8.0
292765,0.39413896203041077,0.0,1.0,16.25,0.2326,1.0,75.54,16.0,-1.1471,0.2514,,0.362,-0.1294,,-0.2327,0.2121,-0.756,-0.6386,1.779,0.1548,0.8211,-0.3837,-0.1293,,1.0063,-1.4212,-1.4551,,0.3346,0.2098,-0.3042,-0.3342,0.2357,3.0
81276,0.9764654636383057,0.0,-1.0,16.25,-1.1747,-1.0,30.34,16.0,-2.4547,,,,,,-0.7746,-1.228,-1.5326,0.4437,,-0.8406,0.1475,0.932,,-1.2607,-1.1574,0.265,0.1839,-2.6979,,,,,,1.0
