query_index,baseline_prediction,base_ST004D01T,base_GRADE,base_AGE,base_ESCS,base_IMMIG,base_HISEI,base_PAREDINT,base_HOMEPOS,base_ANXMAT,base_MATHEFF,base_MATHEF21,base_MATHPERS,base_FAMCON,base_BELONG,base_BULLIED,base_FEELSAFE,base_SCHRISK,base_FAMSUP,base_DISCLIM,base_TEACHSUP,base_COGACRCO,base_COGACMCO,base_STUBEHA,base_TEACHBEHA,base_EDUSHORT,base_STAFFSHORT,base_ICTRES,base_ICTHOME,base_ICTSCH,base_ICTEFFIC,base_ICTINFO,base_ICTSUBJ,base_STUDYHMW
193645,0.6737170815467834,0.0,1.0,16.17,0.5447,1.0,58.77,16.0,0.3374,-0.1792,-1.2575,-0.5524,0.2341,,0.0362,-1.228,1.1246,-0.6386,1.7628,0.1085,1.5558,1.6366,2.3248,-0.4424,-1.2356,-1.4212,-1.4551,,0.3346,0.4062,2.2012,0.6984,-0.4277,1.0
266222,0.6336559057235718,1.0,0.0,15.58,-0.2415,1.0,29.47,16.0,-0.2127,-0.0423,-0.9328,-0.8113,-0.9298,-0.0046,0.7639,-1.228,0.6942,1.793,-0.549,-0.59,-0.5635,-0.5422,0.1213,0.5495,1.4873,0.4292,1.7591,,0.3346,0.4062,-0.9649,-0.3619,,6.0
49153,0.9608708620071411,0.0,-1.0,15.92,-1.6051,1.0,14.64,9.0,0.026,,,,0.2225,,-0.8709,2.1752,-1.5326,1.2046,,-2.4752,0.4357,,,,0.5642,0.6299,,,,,,,,1.0
120071,0.9848096966743469,0.0,-1.0,16.33,-2.1907,1.0,23.8,12.0,-2.9637,,,,,,0.5271,-1.228,0.4417,1.2062,,,,,,1.1051,-2.0409,2.9595,1.2805,-3.0438,,,,,,1.0
403344,0.9883576035499573,0.0,0.0,15.42,-2.5681,1.0,17.79,9.0,-2.3882,,,,,,0.234,0.8806,0.2435,,,-0.535,0.1475,-0.5741,,-2.1265,-0.8368,2.9595,0.2218,-2.6136,,,,,,8.0
610786,0.7172600626945496,1.0,0.0,16.17,,-1.0,,,,,,,,,,,,,,,,,,,-0.3692,0.8339,,,,,,,,-1.0
195123,0.6747754812240601,0.0,0.0,15.67,0.4978,1.0,81.4,16.0,-0.7822,,,,,,0.0764,-0.2016,-0.756,3.2331,,,,,,-0.4275,0.2266,0.9905,0.993,,,,,,,6.0
17789,0.6944411396980286,0.0,0.0,15.42,-2.511,1.0,17.0,6.0,-1.0194,0.3729,-0.6832,0.0211,-0.079,-0.5934,2.4581,-1.228,1.1246,-0.6386,0.684,0.488,1.5558,0.6325,0.5405,1.24,0.3147,-0.3123,0.531,-0.5987,0.3346,0.4062,1.5288,1.7003,0.9382,2.0
407576,0.8835265040397644,0.0,0.0,16.33,-0.0815,1.0,78.17,16.0,-2.006,,,,,,0.136,-0.391,1.1246,-0.6386,,,,,,1.5935,1.6299,0.8339,1.6256,-2.5734,,,,,,6.0
356055,0.836462676525116,1.0,0.0,15.5,-1.1079,1.0,,14.5,-2.1828,-0.0359,-0.4265,0.4129,-0.693,,-0.7664,,-1.4563,1.3592,1.6127,0.3247,-0.1002,-0.1062,0.2505,0.4775,-1.4051,2.1861,0.5854,,,,,,,0.0
277770,0.9791218638420105,1.0,-1.0,16.08,-1.8757,1.0,33.76,9.0,-1.4652,0.1031,-1.3102,-2.1343,-1.2235,-1.314,,0.1807,1.1246,1.7531,-0.8039,-0.1219,-0.5635,3.4623,-0.4472,-0.8561,0.0913,0.9868,1.3405,,,,,,,1.0
448349,0.8776462078094482,0.0,0.0,15.92,-0.4904,1.0,33.16,16.0,-0.9649,0.1748,-2.2183,-2.151,-1.6602,,-0.4433,-1.228,-0.756,-0.6386,-1.3273,0.7711,-0.1002,-0.0977,-0.5231,-0.6033,-0.1448,-1.4212,-0.614,-0.8794,0.3346,-0.7291,-2.6482,-0.836,-2.0101,6.0
352660,0.5674408078193665,1.0,-1.0,15.58,1.2087,1.0,79.49,16.0,0.9814,0.3378,1.9651,2.3594,-0.2544,,0.5639,1.6665,1.1246,0.4437,1.7266,-2.3769,-1.0693,-0.7985,-1.9655,-1.63,-2.0409,-1.4212,-1.4551,1.7938,,,,,,8.0
451911,0.8488436341285706,1.0,0.0,15.58,-0.2662,1.0,62.39,14.5,-1.1392,0.6566,-1.0784,0.2466,-0.8084,,0.7979,-1.228,1.1246,-0.6386,-0.8506,0.7097,-1.0693,0.6148,1.2973,1.6435,1.4191,2.1432,0.1825,-0.5444,0.3346,0.4062,-0.5064,-0.32,0.3282,6.0
118765,0.9393923282623291,0.0,0.0,16.08,-0.8703,1.0,16.5,16.0,-1.1191,0.429,-0.6326,-0.2129,0.0053,-1.3598,-0.2482,-1.228,-0.756,-0.6386,1.703,-0.707,1.5558,0.2037,0.969,0.3603,-0.9033,-1.4212,-1.4551,-1.1766,,,,,,1.0
277866,0.9295668005943298,0.0,0.0,16.25,-0.3128,1.0,50.15,14.5,-0.7035,,,,,,,-1.228,,,,,,,,2.7503,2.2618,2.9595,2.3383,,,,,,,-1.0
193508,0.8827984929084778,1.0,0.0,15.33,-1.6652,1.0,11.56,12.0,-1.1773,0.8819,-1.6488,-2.1933,-2.6024,,-1.2062,-0.267,0.0295,1.2046,-1.8347,-2.4931,1.5558,-1.0852,-0.6338,-0.9251,0.4791,0.1423,0.8371,,0.3346,0.2137,-0.8153,-0.6429,1.95,10.0
218777,0.9802272319793701,0.0,-2.0,15.5,-1.0898,1.0,,9.0,-0.8969,0.9242,,,,,,,,,,-0.6992,1.5558,0.225,,,0.5395,,,-1.1276,,,,,,1.0
244641,0.8246501088142395,0.0,-1.0,15.83,-2.1621,1.0,17.0,12.0,-2.5931,,,-0.5495,0.9067,,-0.6038,-0.267,-0.756,-0.6386,-0.7111,0.4277,1.5558,-0.2346,0.899,0.6058,0.1909,2.9595,0.5386,-2.2369,,,,,,7.0
