rmse,mae,r2,model_type,model,auc,average_precision,f1,precision,recall,brier
61.684039338040655,48.06937556816023,0.5846421425418289,mlp,MLP (3-layer),,,,,,
,,,mlp,MLP (3-layer),0.8667931776135888,0.8809523088144495,0.8023935397517,0.7839147114413864,0.8217645841267353,0.14824642788852924
