estimand,task,group,metric,pv_count,estimate,sampling_variance,imputation_variance,total_variance,standard_error,ci_lower,ci_upper,status
population,classification,contrast,auc_difference,10,-0.023854896209755904,0.0007504389504106212,0.00020959118327279364,0.0009809892520106943,0.03132074794781718,-0.08524356218747758,0.03753376976796577,INSTITUTION_COLD_START_CANDIDATE
population,classification,contrast,ece_difference,10,0.04248742300531429,0.0007051882230471719,0.00026844087472388637,0.0010004731852434469,0.03163025743245614,-0.019507881562299753,0.10448272757292833,INSTITUTION_COLD_START_CANDIDATE
population,classification,contrast,slope_difference,10,-0.03883879549652527,0.010675043084036204,0.0047504039940049715,0.015900487477441674,0.12609713508816,-0.28598918026931885,0.20831158927626833,INSTITUTION_COLD_START_CANDIDATE
population,classification,global,auc,10,0.8865224877258668,1.834881427951033e-05,2.535281855917022e-06,2.1137624321019054e-05,0.0045975672176727395,0.8775112559792283,0.8955337194725054,INSTITUTION_COLD_START_CANDIDATE
population,classification,global,brier,10,0.13584062325639262,8.265398653755848e-06,1.29993628800015e-06,9.695328570556013e-06,0.003113732257365108,0.129737708031957,0.14194353848082825,INSTITUTION_COLD_START_CANDIDATE
population,classification,global,calibration_slope,10,0.7934317172468676,0.00026730451707649745,8.180457003270626e-05,0.00035728954411247437,0.018902104224463326,0.7563835929669195,0.8304798415268156,INSTITUTION_COLD_START_CANDIDATE
population,classification,global,ece,10,0.03178542746352468,1.0751966616292878e-05,4.18934861522594e-06,1.5360250093041412e-05,0.003919215494590902,0.024103765094126515,0.03946708983292285,INSTITUTION_COLD_START_CANDIDATE
population,classification,high_ses_native,auc,10,0.8593850334386332,0.00011012665876062157,2.8872022351053995e-05,0.00014188588334678096,0.011911586097022553,0.836038324688469,0.8827317421887974,INSTITUTION_COLD_START_CANDIDATE
population,classification,high_ses_native,brier,10,0.1065286603818744,1.805249736910276e-05,9.131639854593447e-06,2.8097301209155554e-05,0.005300688748564242,0.09613931043468849,0.11691801032906032,INSTITUTION_COLD_START_CANDIDATE
population,classification,high_ses_native,calibration_slope,10,0.8386814412429061,0.001978462890907022,0.0007648861819293099,0.002819837691029263,0.053102143940045046,0.7346012391204179,0.9427616433653944,INSTITUTION_COLD_START_CANDIDATE
population,classification,high_ses_native,ece,10,0.02784626933030728,3.1697959014158395e-05,2.568859793020796e-05,5.995541673738715e-05,0.007743088320391751,0.01266981622233945,0.04302272243827511,INSTITUTION_COLD_START_CANDIDATE
population,classification,low_ses_non_native,auc,10,0.8355301372288773,0.0006497443099844404,0.00022578737838422356,0.0008981104262070864,0.02996849055603379,0.776791895739051,0.8942683787187035,INSTITUTION_COLD_START_CANDIDATE
population,classification,low_ses_non_native,brier,10,0.16476236859650872,0.0002542368927029217,0.00010785663481840214,0.0003728791910031641,0.01931008003616671,0.12691461172562196,0.20261012546739549,INSTITUTION_COLD_START_CANDIDATE
population,classification,low_ses_non_native,calibration_slope,10,0.7545929217503423,0.01109858684346883,0.004747743344079907,0.016321104521956727,0.12775407829872487,0.5041949282848416,1.004990915215843,INSTITUTION_COLD_START_CANDIDATE
population,classification,low_ses_non_native,ece,10,0.07427285046883898,0.0007399482113389868,0.0002950554971944728,0.0010645092582529068,0.032626818083486275,0.01032428702520588,0.13822141391247209,INSTITUTION_COLD_START_CANDIDATE
population,regression,global,r2,10,0.6218740563900083,9.382499562236415e-05,5.637224964669325e-06,0.0001000259430835004,0.010001297070055483,0.6022715141326995,0.641476598647317,INSTITUTION_COLD_START_CANDIDATE
population,regression,global,rmse,10,61.02283689606645,0.20293136168349105,0.05465768214328554,0.26305481204110515,0.5128886936179283,60.01757505657531,62.02809873555759,INSTITUTION_COLD_START_CANDIDATE
