DPI_QUINTILE,n_students,mean_math,low_performer_rate,mean_escs
Q1 (lowest ICT),29311,416.8031878816827,0.5757224250281464,-0.8464602547814442
Q2,29310,398.6653878335039,0.6747526441487547,-1.1082350634213232
Q3,29310,437.2554703991812,0.48321392016376663,-0.5142074659624816
Q4,29310,472.4587540941658,0.3166837256908905,-0.0059238679601000925
Q5 (highest ICT),29311,494.8979912797243,0.23823820408720275,0.5467654566022213
