feature,importance_mean,importance_std
HOMEPOS,8.985655412743121,0.260241012634925
MATHEFF,8.753800667063171,0.17714548208729244
FAMCON,2.0132773497704095,0.12307853146543814
ANXMAT,1.4570164802409225,0.058004529555334416
HISEI,1.4539309970744696,0.08261936453772957
GRADE,1.4033885349714423,0.13398811746790493
ICTRES,1.3254198204360363,0.11736298043765495
STUBEHA,1.2711981697953874,0.061271702142417304
ICTEFFIC,1.2570841437181202,0.0735090018024235
COGACMCO,1.174676779967379,0.029343520826228604
EDUSHORT,1.019070039382487,0.06317936615112674
DISCLIM,0.9154097272327377,0.05945963037538625
BULLIED,0.8738894153290744,0.03659324882732418
COGACRCO,0.8545307073898656,0.04163179761202529
ESCS,0.8526394126632653,0.06505702000704516
STAFFSHORT,0.7819046752473142,0.04095136395158416
FAMSUP,0.7418156052049241,0.03170146293638899
ICTSUBJ,0.7132761334084435,0.062237401308938234
ST004D01T,0.6901920898823732,0.04863867934196202
TEACHSUP,0.6710567244731024,0.028363153348807343
MATHPERS,0.6474176088397087,0.03407784580172168
STUDYHMW,0.5801582823168445,0.05283422473320155
MATHEF21,0.4679863114808711,0.022840995215315515
BELONG,0.46256669488790864,0.02869187793156699
TEACHBEHA,0.4531222589921313,0.04527016606106532
SCHRISK,0.36012789367523934,0.025298287635199354
PAREDINT,0.20846877802613334,0.031040890164228233
ICTINFO,0.18903437741128357,0.025777331636634503
ICTHOME,0.15798240956178375,0.009932171663117013
FEELSAFE,0.1424434092490799,0.024390571962386885
ICTSCH,0.14014687091432876,0.006439311638155693
IMMIG,0.1264198280865088,0.011993585387714866
AGE,0.04967849481693491,0.0024585514802085086
