robustness_check,n_rows,n_features,rmse,mae,r2,classification_auc,classification_average_precision,classification_f1,classification_precision,classification_recall,classification_brier
without_country_fixed_effects,120000,33,70.8784287767423,56.26859239516048,0.4835680399044021,0.8432988561756285,0.856942864858484,0.780252205515614,0.7479110802029694,0.8155167302229371,0.16140266549224286
with_country_fixed_effects,120000,34,64.85078405106444,51.36298968084926,0.5676699627333477,0.8732076379945379,0.8828500780091795,0.8021952798008374,0.7808534990241546,0.8247364406417832,0.1446266311657306
