row_type,pv,task,group,metric,replicate,estimate,full_estimate,valid_replicates,failed_replicates,sampling_variance,sampling_standard_error
replicate,PV1MATH,classification,contrast,ece_difference,4.0,0.0637434376371892,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,4.0,-0.04982623846972545,,,,,
replicate,PV1MATH,regression,global,rmse,5.0,59.83446257637977,,,,,
replicate,PV1MATH,regression,global,r2,5.0,0.6367414354666283,,,,,
replicate,PV1MATH,classification,global,auc,5.0,0.8869366800838083,,,,,
replicate,PV1MATH,classification,global,brier,5.0,0.1372413694446929,,,,,
replicate,PV1MATH,classification,global,ece,5.0,0.031491926808640845,,,,,
replicate,PV1MATH,classification,global,calibration_slope,5.0,0.808751796308686,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,5.0,0.825457632752905,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,5.0,0.16913222256046193,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,5.0,0.09408365701588804,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,5.0,0.7990759324229163,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,5.0,0.855733460390497,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,5.0,0.11145892702723782,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,5.0,0.027406085192395176,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,5.0,0.8439555350229868,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,5.0,-0.030275827637592068,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,5.0,0.0625917302072472,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,5.0,-0.009675863885769687,,,,,
replicate,PV1MATH,regression,global,rmse,6.0,59.41550705367571,,,,,
replicate,PV1MATH,regression,global,r2,6.0,0.6357305815702429,,,,,
replicate,PV1MATH,classification,global,auc,6.0,0.8881290497019023,,,,,
replicate,PV1MATH,classification,global,brier,6.0,0.1365165446970671,,,,,
replicate,PV1MATH,classification,global,ece,6.0,0.03136755011136569,,,,,
replicate,PV1MATH,classification,global,calibration_slope,6.0,0.8103550735304188,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,6.0,0.8051401726805391,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,6.0,0.18210814833623726,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,6.0,0.10152437777802766,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,6.0,0.7318263291461717,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,6.0,0.8479286815824919,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,6.0,0.11453759401109777,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,6.0,0.03289452066133979,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,6.0,0.8070070682897743,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,6.0,-0.04278850890195285,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,6.0,0.07015682766666197,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,6.0,-0.07852874438424706,,,,,
replicate,PV1MATH,regression,global,rmse,7.0,59.71906528878811,,,,,
replicate,PV1MATH,regression,global,r2,7.0,0.6344327118860634,,,,,
replicate,PV1MATH,classification,global,auc,7.0,0.8882300523448453,,,,,
replicate,PV1MATH,classification,global,brier,7.0,0.13623429258823094,,,,,
replicate,PV1MATH,classification,global,ece,7.0,0.03258379924727281,,,,,
replicate,PV1MATH,classification,global,calibration_slope,7.0,0.8133202634552428,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,7.0,0.8184770995680541,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,7.0,0.17574580471633736,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,7.0,0.09065715261210511,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,7.0,0.736472647955982,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,7.0,0.8610529015045606,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,7.0,0.1117371091124881,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,7.0,0.028031331110323767,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,7.0,0.8672677134460476,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,7.0,-0.04257580193650645,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,7.0,0.0580733533648323,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,7.0,-0.07684761549926078,,,,,
replicate,PV1MATH,regression,global,rmse,8.0,59.707864226408475,,,,,
replicate,PV1MATH,regression,global,r2,8.0,0.6364372702323804,,,,,
replicate,PV1MATH,classification,global,auc,8.0,0.8870345620796031,,,,,
replicate,PV1MATH,classification,global,brier,8.0,0.1367865647881009,,,,,
replicate,PV1MATH,classification,global,ece,8.0,0.030460629400417494,,,,,
replicate,PV1MATH,classification,global,calibration_slope,8.0,0.8121202038275291,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,8.0,0.827767687476347,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,8.0,0.16902863602233026,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,8.0,0.07157975803805752,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,8.0,0.7982768254175272,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,8.0,0.8609452838221688,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,8.0,0.11132580910557298,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,8.0,0.02982117584758954,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,8.0,0.8615412314473936,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,8.0,-0.03317759634582185,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,8.0,0.04111912863764003,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,8.0,-0.013843378410001939,,,,,
replicate,PV1MATH,regression,global,rmse,9.0,60.116510340688514,,,,,
replicate,PV1MATH,regression,global,r2,9.0,0.6307241109494102,,,,,
replicate,PV1MATH,classification,global,auc,9.0,0.8877242810447377,,,,,
replicate,PV1MATH,classification,global,brier,9.0,0.136742214281698,,,,,
replicate,PV1MATH,classification,global,ece,9.0,0.031060209766861385,,,,,
replicate,PV1MATH,classification,global,calibration_slope,9.0,0.8157791711165066,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,9.0,0.8278493766752821,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,9.0,0.17046844400619274,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,9.0,0.08894084475079865,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,9.0,0.8022823029624457,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,9.0,0.8558604290691979,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,9.0,0.11580395151350083,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,9.0,0.03180295218081741,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,9.0,0.8459119733679695,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,9.0,-0.02801105239391577,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,9.0,0.057880634983937265,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,9.0,-0.013496868154060815,,,,,
replicate,PV1MATH,regression,global,rmse,10.0,59.71959972759563,,,,,
replicate,PV1MATH,regression,global,r2,10.0,0.6350285479091253,,,,,
replicate,PV1MATH,classification,global,auc,10.0,0.8889390726561632,,,,,
replicate,PV1MATH,classification,global,brier,10.0,0.13582659371844358,,,,,
replicate,PV1MATH,classification,global,ece,10.0,0.030163114910575217,,,,,
replicate,PV1MATH,classification,global,calibration_slope,10.0,0.8146646426680418,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,10.0,0.8076722263127242,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,10.0,0.1821714275948379,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,10.0,0.10665459180836245,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,10.0,0.700979382991594,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,10.0,0.8603785626835743,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,10.0,0.11044139095866831,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,10.0,0.023941803177498583,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,10.0,0.8702136913467927,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,10.0,-0.05270633637085009,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,10.0,0.07649147689778724,,,,,
