pv,estimand,task,group,metric,estimate,n
PV3MATH,population,classification,contrast,auc_difference,-0.07646401962549232,27173
PV3MATH,population,classification,contrast,ece_difference,0.05487486482854535,27173
PV3MATH,population,classification,contrast,slope_difference,-0.21694071134689996,27173
PV3MATH,senate,regression,global,rmse,64.20198156949031,122749
PV3MATH,senate,regression,global,r2,0.619648010301701,122749
PV3MATH,senate,classification,global,auc,0.8800136553248851,122749
PV3MATH,senate,classification,global,brier,0.1413859011913994,122749
PV3MATH,senate,classification,global,ece,0.02188457106127047,122749
PV3MATH,senate,classification,global,calibration_slope,0.8681478722359346,122749
PV3MATH,senate,classification,low_ses_non_native,auc,0.8441061962143499,2495
PV3MATH,senate,classification,low_ses_non_native,brier,0.1639963153464287,2495
PV3MATH,senate,classification,low_ses_non_native,ece,0.04638233072685273,2495
PV3MATH,senate,classification,low_ses_non_native,calibration_slope,0.8073330236879724,2495
PV3MATH,senate,classification,high_ses_native,auc,0.8640722089341445,24678
PV3MATH,senate,classification,high_ses_native,brier,0.10666066745624155,24678
PV3MATH,senate,classification,high_ses_native,ece,0.014744739024467922,24678
PV3MATH,senate,classification,high_ses_native,calibration_slope,0.9143270248779481,24678
PV3MATH,senate,classification,contrast,auc_difference,-0.01996601271979459,27173
PV3MATH,senate,classification,contrast,ece_difference,0.02449775966558226,27173
PV3MATH,senate,classification,contrast,slope_difference,-0.06081484854796215,27173
PV4MATH,population,regression,global,rmse,59.929345232811436,122749
PV4MATH,population,regression,global,r2,0.6321930526014614,122749
PV4MATH,population,classification,global,auc,0.8868786901436582,122749
PV4MATH,population,classification,global,brier,0.13735337868959105,122749
PV4MATH,population,classification,global,ece,0.033582458302113205,122749
PV4MATH,population,classification,global,calibration_slope,0.8035417463434374,122749
PV4MATH,population,classification,low_ses_non_native,auc,0.767847138505409,2495
PV4MATH,population,classification,low_ses_non_native,brier,0.20307867684162173,2495
PV4MATH,population,classification,low_ses_non_native,ece,0.12148739215369336,2495
PV4MATH,population,classification,low_ses_non_native,calibration_slope,0.5374318881702779,2495
PV4MATH,population,classification,high_ses_native,auc,0.8546408909057001,24678
PV4MATH,population,classification,high_ses_native,brier,0.11126867548234405,24678
PV4MATH,population,classification,high_ses_native,ece,0.031122816880906453,24678
PV4MATH,population,classification,high_ses_native,calibration_slope,0.8208953405093949,24678
PV4MATH,population,classification,contrast,auc_difference,-0.08679375240029108,27173
PV4MATH,population,classification,contrast,ece_difference,0.08790493385158016,27173
PV4MATH,population,classification,contrast,slope_difference,-0.2661098581731596,27173
PV4MATH,senate,regression,global,rmse,64.11759190517427,122749
PV4MATH,senate,regression,global,r2,0.6191818082655544,122749
PV4MATH,senate,classification,global,auc,0.8802425836937835,122749
PV4MATH,senate,classification,global,brier,0.1413064041219514,122749
PV4MATH,senate,classification,global,ece,0.021985556041681974,122749
PV4MATH,senate,classification,global,calibration_slope,0.8712419335999267,122749
PV4MATH,senate,classification,low_ses_non_native,auc,0.8458924550413754,2495
PV4MATH,senate,classification,low_ses_non_native,brier,0.16317818639621,2495
PV4MATH,senate,classification,low_ses_non_native,ece,0.05230713139013775,2495
PV4MATH,senate,classification,low_ses_non_native,calibration_slope,0.8125611976653329,2495
PV4MATH,senate,classification,high_ses_native,auc,0.8644519926786269,24678
PV4MATH,senate,classification,high_ses_native,brier,0.10781251132717247,24678
PV4MATH,senate,classification,high_ses_native,ece,0.01851209737546985,24678
PV4MATH,senate,classification,high_ses_native,calibration_slope,0.9121918069905239,24678
PV4MATH,senate,classification,contrast,auc_difference,-0.01855953763725149,27173
PV4MATH,senate,classification,contrast,ece_difference,0.030321575348455775,27173
PV4MATH,senate,classification,contrast,slope_difference,-0.058680735934593886,27173
PV5MATH,population,regression,global,rmse,59.87184472665486,122749
PV5MATH,population,regression,global,r2,0.634513635249509,122749
PV5MATH,population,classification,global,auc,0.8854441476624022,122749
PV5MATH,population,classification,global,brier,0.13806234944257717,122749
PV5MATH,population,classification,global,ece,0.03138247695680965,122749
PV5MATH,population,classification,global,calibration_slope,0.8035978258905996,122749
PV5MATH,population,classification,low_ses_non_native,auc,0.8113047048357758,2495
PV5MATH,population,classification,low_ses_non_native,brier,0.17733993212585603,2495
PV5MATH,population,classification,low_ses_non_native,ece,0.10571331869154138,2495
PV5MATH,population,classification,low_ses_non_native,calibration_slope,0.7467831189236523,2495
PV5MATH,population,classification,high_ses_native,auc,0.8534896095518464,24678
PV5MATH,population,classification,high_ses_native,brier,0.11331452456501007,24678
PV5MATH,population,classification,high_ses_native,ece,0.03354128926107694,24678
PV5MATH,population,classification,high_ses_native,calibration_slope,0.8313551936959375,24678
PV5MATH,population,classification,contrast,auc_difference,-0.042184904716070615,27173
PV5MATH,population,classification,contrast,ece_difference,0.07433084173473173,27173
PV5MATH,population,classification,contrast,slope_difference,-0.05681470696694724,27173
PV5MATH,senate,regression,global,rmse,64.4160753542994,122749
PV5MATH,senate,regression,global,r2,0.6166912820342216,122749
PV5MATH,senate,classification,global,auc,0.8787300263464115,122749
PV5MATH,senate,classification,global,brier,0.1421674997756269,122749
PV5MATH,senate,classification,global,ece,0.02227825196212255,122749
PV5MATH,senate,classification,global,calibration_slope,0.8653516596208465,122749
PV5MATH,senate,classification,low_ses_non_native,auc,0.8614772245683701,2495
PV5MATH,senate,classification,low_ses_non_native,brier,0.15325225677862206,2495
PV5MATH,senate,classification,low_ses_non_native,ece,0.04241891430288314,2495
PV5MATH,senate,classification,low_ses_non_native,calibration_slope,0.9038286466389763,2495
PV5MATH,senate,classification,high_ses_native,auc,0.862812938548457,24678
PV5MATH,senate,classification,high_ses_native,brier,0.10875965442084722,24678
PV5MATH,senate,classification,high_ses_native,ece,0.017069084443877062,24678
PV5MATH,senate,classification,high_ses_native,calibration_slope,0.9076978912278861,24678
PV5MATH,senate,classification,contrast,auc_difference,-0.0013357139800869167,27173
PV5MATH,senate,classification,contrast,ece_difference,0.020140662340760587,27173
PV5MATH,senate,classification,contrast,slope_difference,0.03847698701812985,27173
PV6MATH,population,regression,global,rmse,59.93834308203332,122749
PV6MATH,population,regression,global,r2,0.6338874637139373,122749
PV6MATH,population,classification,global,auc,0.8867659437658956,122749
PV6MATH,population,classification,global,brier,0.1370983265961372,122749
PV6MATH,population,classification,global,ece,0.03113493926239687,122749
PV6MATH,population,classification,global,calibration_slope,0.8085756398313952,122749
PV6MATH,population,classification,low_ses_non_native,auc,0.7351012315782577,2495
PV6MATH,population,classification,low_ses_non_native,brier,0.21842016646033666,2495
PV6MATH,population,classification,low_ses_non_native,ece,0.12881329100623082,2495
PV6MATH,population,classification,low_ses_non_native,calibration_slope,0.47285281215205877,2495
PV6MATH,population,classification,high_ses_native,auc,0.8547599636472124,24678
PV6MATH,population,classification,high_ses_native,brier,0.11384875718725432,24678
PV6MATH,population,classification,high_ses_native,ece,0.033283149748351254,24678
PV6MATH,population,classification,high_ses_native,calibration_slope,0.8393966463419271,24678
PV6MATH,population,classification,contrast,auc_difference,-0.11965873206895472,27173
PV6MATH,population,classification,contrast,ece_difference,0.09767835174383395,27173
PV6MATH,population,classification,contrast,slope_difference,-0.3357228276793365,27173
PV6MATH,senate,regression,global,rmse,64.04997859304125,122749
PV6MATH,senate,regression,global,r2,0.6198229916750431,122749
PV6MATH,senate,classification,global,auc,0.8798652256637263,122749
PV6MATH,senate,classification,global,brier,0.14143547027900205,122749
PV6MATH,senate,classification,global,ece,0.021892989098749756,122749
PV6MATH,senate,classification,global,calibration_slope,0.8734185199831076,122749
PV6MATH,senate,classification,low_ses_non_native,auc,0.8395362964275127,2495
PV6MATH,senate,classification,low_ses_non_native,brier,0.16658518316358825,2495
PV6MATH,senate,classification,low_ses_non_native,ece,0.049098565388272244,2495
PV6MATH,senate,classification,low_ses_non_native,calibration_slope,0.7860129082513024,2495
PV6MATH,senate,classification,high_ses_native,auc,0.8659177545280097,24678
PV6MATH,senate,classification,high_ses_native,brier,0.10783810830891018,24678
PV6MATH,senate,classification,high_ses_native,ece,0.015153215521758932,24678
PV6MATH,senate,classification,high_ses_native,calibration_slope,0.9255217694140547,24678
PV6MATH,senate,classification,contrast,auc_difference,-0.02638145810049697,27173
PV6MATH,senate,classification,contrast,ece_difference,0.027205576289522488,27173
PV6MATH,senate,classification,contrast,slope_difference,-0.08740561173180517,27173
PV7MATH,population,regression,global,rmse,59.80225108364825,122749
PV7MATH,population,regression,global,r2,0.6343457211616321,122749
PV7MATH,population,classification,global,auc,0.889232447567114,122749
PV7MATH,population,classification,global,brier,0.13597676607607517,122749
PV7MATH,population,classification,global,ece,0.03145319288828519,122749
PV7MATH,population,classification,global,calibration_slope,0.8204025218544637,122749
PV7MATH,population,classification,low_ses_non_native,auc,0.7997100125140106,2495
PV7MATH,population,classification,low_ses_non_native,brier,0.19093964701692454,2495
PV7MATH,population,classification,low_ses_non_native,ece,0.12005015203772586,2495
PV7MATH,population,classification,low_ses_non_native,calibration_slope,0.628903621039217,2495
PV7MATH,population,classification,high_ses_native,auc,0.8491153619427606,24678
PV7MATH,population,classification,high_ses_native,brier,0.11487585575965346,24678
PV7MATH,population,classification,high_ses_native,ece,0.03332748338337886,24678
PV7MATH,population,classification,high_ses_native,calibration_slope,0.8081116984729367,24678
PV7MATH,population,classification,contrast,auc_difference,-0.04940534942874997,27173
PV7MATH,population,classification,contrast,ece_difference,0.08859695914944066,27173
PV7MATH,population,classification,contrast,slope_difference,-0.19149890081524668,27173
PV7MATH,senate,regression,global,rmse,64.03926266062348,122749
PV7MATH,senate,regression,global,r2,0.6190562154833716,122749
PV7MATH,senate,classification,global,auc,0.87977458213541,122749
PV7MATH,senate,classification,global,brier,0.14148699394425504,122749
PV7MATH,senate,classification,global,ece,0.021765933223397673,122749
PV7MATH,senate,classification,global,calibration_slope,0.8688137335101851,122749
PV7MATH,senate,classification,low_ses_non_native,auc,0.8604910448905515,2495
PV7MATH,senate,classification,low_ses_non_native,brier,0.15565589469105667,2495
PV7MATH,senate,classification,low_ses_non_native,ece,0.04868832133275014,2495
PV7MATH,senate,classification,low_ses_non_native,calibration_slope,0.8771773532044138,2495
PV7MATH,senate,classification,high_ses_native,auc,0.859855891092583,24678
PV7MATH,senate,classification,high_ses_native,brier,0.10882904891035507,24678
PV7MATH,senate,classification,high_ses_native,ece,0.017289253028258768,24678
PV7MATH,senate,classification,high_ses_native,calibration_slope,0.8887059661486426,24678
PV7MATH,senate,classification,contrast,auc_difference,0.000635153797968524,27173
PV7MATH,senate,classification,contrast,ece_difference,0.026922388109352467,27173
PV7MATH,senate,classification,contrast,slope_difference,0.008363619694228719,27173
