student_idx,predicted_probability,feature,shap_contribution,rank
375403,0.9084750413894653,HOMEPOS,0.9926526117786306,1
375403,0.9084750413894653,ICTRES,0.4621147223853404,2
375403,0.9084750413894653,EDUSHORT,0.3108105407109815,3
375403,0.9084750413894653,ST004D01T,0.2837544432868526,4
375403,0.9084750413894653,MATHPERS,0.2662931636848134,5
375403,0.9084750413894653,FAMCON,0.21994233105555394,6
375403,0.9084750413894653,STUBEHA,0.21641252061816657,7
375403,0.9084750413894653,FAMSUP,0.19954175780476363,8
375403,0.9084750413894653,STUDYHMW,0.1636215516856828,9
375403,0.9084750413894653,TEACHSUP,0.14647986269453214,10
190076,0.7069268226623535,HOMEPOS,0.402840347725778,1
190076,0.7069268226623535,ICTHOME,0.3396341323053639,2
190076,0.7069268226623535,ICTSUBJ,0.2959729481226532,3
190076,0.7069268226623535,FAMCON,0.29003529014655216,4
190076,0.7069268226623535,COGACRCO,0.2281292477801253,5
190076,0.7069268226623535,MATHEFF,0.21558827989735618,6
190076,0.7069268226623535,TEACHSUP,0.17513700978453925,7
190076,0.7069268226623535,STAFFSHORT,0.16556507121296818,8
190076,0.7069268226623535,EDUSHORT,0.08110221507024107,9
190076,0.7069268226623535,ICTSCH,0.07949978282445955,10
537501,0.9526811242103577,HOMEPOS,1.0499452715836832,1
537501,0.9526811242103577,ICTRES,0.8904203078921273,2
537501,0.9526811242103577,MATHPERS,0.48767156922910543,3
537501,0.9526811242103577,TEACHBEHA,0.42669377620091836,4
537501,0.9526811242103577,COGACRCO,0.37817437898665957,5
537501,0.9526811242103577,MATHEFF,0.3179976551596974,6
537501,0.9526811242103577,FAMCON,0.30823475912929327,7
537501,0.9526811242103577,ICTSUBJ,0.2762178707224393,8
537501,0.9526811242103577,FAMSUP,0.23334668970201164,9
537501,0.9526811242103577,HISEI,0.2095940043218252,10
437265,0.9824466705322266,BELONG,0.6304947481055979,1
437265,0.9824466705322266,FAMSUP,0.43287667379382583,2
437265,0.9824466705322266,EDUSHORT,0.4254959821269426,3
437265,0.9824466705322266,BULLIED,0.36113680320964703,4
437265,0.9824466705322266,DISCLIM,0.35125592860771576,5
437265,0.9824466705322266,ICTRES,0.3438776261166731,6
437265,0.9824466705322266,HOMEPOS,0.299337757876292,7
437265,0.9824466705322266,FAMCON,0.293604191296472,8
437265,0.9824466705322266,MATHEFF,0.27955211382515244,9
437265,0.9824466705322266,IMMIG,0.274369145043529,10
552242,0.9364745020866394,ICTRES,0.7384531856077774,1
552242,0.9364745020866394,HOMEPOS,0.48949222789833585,2
552242,0.9364745020866394,TEACHBEHA,0.37231560522672225,3
552242,0.9364745020866394,HISEI,0.30519730829775654,4
552242,0.9364745020866394,DISCLIM,0.29203560959360403,5
552242,0.9364745020866394,FAMCON,0.25896563834113523,6
552242,0.9364745020866394,MATHEFF,0.24637235778372996,7
552242,0.9364745020866394,COGACRCO,0.2130106762847936,8
552242,0.9364745020866394,BELONG,0.15921708419094557,9
552242,0.9364745020866394,FAMSUP,0.12158496665766506,10
57724,0.7855591773986816,HOMEPOS,0.6023707071964782,1
57724,0.7855591773986816,MATHEFF,0.5242203093713579,2
57724,0.7855591773986816,HISEI,0.33910320958621015,3
57724,0.7855591773986816,FAMSUP,0.3239734371632039,4
57724,0.7855591773986816,STUBEHA,0.3101201187417428,5
57724,0.7855591773986816,ICTEFFIC,0.3008540955615717,6
57724,0.7855591773986816,ANXMAT,0.28078135867178844,7
57724,0.7855591773986816,ICTRES,0.27033360794699546,8
57724,0.7855591773986816,ICTSUBJ,0.26376495767450253,9
57724,0.7855591773986816,TEACHBEHA,0.2603572162467572,10
609665,0.9821410179138184,MATHEFF,0.755644652796982,1
609665,0.9821410179138184,STUBEHA,0.6105526247646412,2
609665,0.9821410179138184,PAREDINT,0.47176155255281627,3
609665,0.9821410179138184,HOMEPOS,0.37714302976118236,4
609665,0.9821410179138184,COGACMCO,0.36778008218261676,5
609665,0.9821410179138184,BULLIED,0.31171368487532164,6
609665,0.9821410179138184,ST004D01T,0.291475246784903,7
609665,0.9821410179138184,EDUSHORT,0.2639027527221742,8
609665,0.9821410179138184,GRADE,0.25856226259735193,9
609665,0.9821410179138184,FAMCON,0.24162832271777007,10
158813,0.9822807908058167,GRADE,1.3572888122450604,1
158813,0.9822807908058167,BELONG,0.628639199169952,2
158813,0.9822807908058167,HOMEPOS,0.6072359677414534,3
158813,0.9822807908058167,STUBEHA,0.4503997859088213,4
158813,0.9822807908058167,HISEI,0.31099955138342467,5
158813,0.9822807908058167,IMMIG,0.27719687501961743,6
158813,0.9822807908058167,BULLIED,0.27078096703047777,7
158813,0.9822807908058167,DISCLIM,0.26844495301768345,8
158813,0.9822807908058167,MATHEFF,0.261910030061772,9
158813,0.9822807908058167,ICTRES,0.21781893870524982,10
303042,0.855495035648346,BELONG,0.794263951937669,1
303042,0.855495035648346,EDUSHORT,0.38470406624594944,2
303042,0.855495035648346,BULLIED,0.354164311201057,3
303042,0.855495035648346,HOMEPOS,0.33871142330322074,4
303042,0.855495035648346,FAMCON,0.2966083784122748,5
303042,0.855495035648346,DISCLIM,0.24268927068082577,6
303042,0.855495035648346,STUBEHA,0.18902060441098,7
303042,0.855495035648346,MATHEFF,0.18426919389422436,8
303042,0.855495035648346,MATHPERS,0.1612725289606351,9
303042,0.855495035648346,FAMSUP,0.15523685879403273,10
206822,0.7092167139053345,STUBEHA,0.5944751207940817,1
206822,0.7092167139053345,GRADE,0.5536117733661741,2
206822,0.7092167139053345,BELONG,0.3575585700285228,3
206822,0.7092167139053345,FAMCON,0.18598298005847938,4
206822,0.7092167139053345,BULLIED,0.16602195947900328,5
206822,0.7092167139053345,ICTSCH,0.13748374762355525,6
206822,0.7092167139053345,AGE,0.13522563750408154,7
206822,0.7092167139053345,HISEI,0.1338138202330356,8
