pv,estimand,task,group,metric,estimate,n
PV3MATH,population,classification,contrast,auc_difference,-0.028335589292357466,27442
PV3MATH,population,classification,contrast,ece_difference,0.05081846613945989,27442
PV3MATH,population,classification,contrast,slope_difference,-0.10468671922010253,27442
PV3MATH,senate,regression,global,rmse,64.40429053492531,123406
PV3MATH,senate,regression,global,r2,0.6079178260526009,123406
PV3MATH,senate,classification,global,auc,0.8789130615478958,123406
PV3MATH,senate,classification,global,brier,0.14193383155634617,123406
PV3MATH,senate,classification,global,ece,0.021486674223191587,123406
PV3MATH,senate,classification,global,calibration_slope,0.8646495788897123,123406
PV3MATH,senate,classification,low_ses_non_native,auc,0.8603360463571608,2533
PV3MATH,senate,classification,low_ses_non_native,brier,0.1543233060687104,2533
PV3MATH,senate,classification,low_ses_non_native,ece,0.0405478694641177,2533
PV3MATH,senate,classification,low_ses_non_native,calibration_slope,0.8878358769361289,2533
PV3MATH,senate,classification,high_ses_native,auc,0.8555014633500474,24909
PV3MATH,senate,classification,high_ses_native,brier,0.10938558803023785,24909
PV3MATH,senate,classification,high_ses_native,ece,0.017364107930603005,24909
PV3MATH,senate,classification,high_ses_native,calibration_slope,0.886057534265731,24909
PV3MATH,senate,classification,contrast,auc_difference,0.004834583007113369,27442
PV3MATH,senate,classification,contrast,ece_difference,0.019061195240926115,27442
PV3MATH,senate,classification,contrast,slope_difference,0.023186298046416587,27442
PV4MATH,population,regression,global,rmse,60.87809900082595,123406
PV4MATH,population,regression,global,r2,0.6204507687080228,123406
PV4MATH,population,classification,global,auc,0.8870210347520434,123406
PV4MATH,population,classification,global,brier,0.1353816175003608,123406
PV4MATH,population,classification,global,ece,0.031555834367168925,123406
PV4MATH,population,classification,global,calibration_slope,0.7941872863405373,123406
PV4MATH,population,classification,low_ses_non_native,auc,0.8406482186929872,2533
PV4MATH,population,classification,low_ses_non_native,brier,0.16013778463542414,2533
PV4MATH,population,classification,low_ses_non_native,ece,0.07885785347230115,2533
PV4MATH,population,classification,low_ses_non_native,calibration_slope,0.8198916145757347,2533
PV4MATH,population,classification,high_ses_native,auc,0.8697959978725358,24909
PV4MATH,population,classification,high_ses_native,brier,0.10130849745835202,24909
PV4MATH,population,classification,high_ses_native,ece,0.02164493289454275,24909
PV4MATH,population,classification,high_ses_native,calibration_slope,0.8945256372432943,24909
PV4MATH,population,classification,contrast,auc_difference,-0.029147779179548583,27442
PV4MATH,population,classification,contrast,ece_difference,0.04730201910513222,27442
PV4MATH,population,classification,contrast,slope_difference,0.025704328235197416,27442
PV4MATH,senate,regression,global,rmse,64.67251932917961,123406
PV4MATH,senate,regression,global,r2,0.6050746153889124,123406
PV4MATH,senate,classification,global,auc,0.8776583695690553,123406
PV4MATH,senate,classification,global,brier,0.14267047485048182,123406
