model,feature,importance_mean,importance_std
classification_lightgbm,ICTRES,0.007178383558970736,0.0009200526954978614
classification_lightgbm,ICTEFFIC,0.006242084599797448,0.0003130979308729962
classification_lightgbm,ICTSUBJ,0.0033403433086760304,0.0006166162516863759
classification_lightgbm,STUDYHMW,0.002574932186020362,0.00035504645420712604
classification_lightgbm,ICTINFO,0.0009709692197547914,0.00017902524823254054
classification_lightgbm,ICTHOME,0.0008291704789819221,0.00012084289699411846
classification_lightgbm,ICTSCH,0.000807996783439835,0.00024196328676352722
regression_lightgbm,ICTRES,1.3254198204360363,0.11736298043765495
regression_lightgbm,ICTEFFIC,1.2570841437181202,0.0735090018024235
regression_lightgbm,ICTSUBJ,0.7132761334084435,0.062237401308938234
regression_lightgbm,STUDYHMW,0.5801582823168445,0.05283422473320155
regression_lightgbm,ICTINFO,0.18903437741128357,0.025777331636634503
regression_lightgbm,ICTHOME,0.15798240956178375,0.009932171663117013
regression_lightgbm,ICTSCH,0.14014687091432876,0.006439311638155693
