feature,importance,rank,group
ESCS,0.1956572,8,Q5 (high)
STUDYHMW,0.18759067,9,Q5 (high)
ICTEFFIC,0.18336268,10,Q5 (high)
STUBEHA,0.18210109,11,Q5 (high)
STAFFSHORT,0.14589174,12,Q5 (high)
ICTSUBJ,0.14349617,13,Q5 (high)
COGACRCO,0.13186501,14,Q5 (high)
FAMSUP,0.13160272,15,Q5 (high)
GRADE,0.12940165,16,Q5 (high)
BULLIED,0.1293707,17,Q5 (high)
ST004D01T,0.12709375,18,Q5 (high)
MATHEF21,0.12635449,19,Q5 (high)
DISCLIM,0.1257068,20,Q5 (high)
TEACHBEHA,0.123623036,21,Q5 (high)
BELONG,0.1228053,22,Q5 (high)
MATHPERS,0.118013486,23,Q5 (high)
ICTHOME,0.10844301,24,Q5 (high)
EDUSHORT,0.10600636,25,Q5 (high)
TEACHSUP,0.09775195,26,Q5 (high)
FEELSAFE,0.09752384,27,Q5 (high)
ICTINFO,0.0933123,28,Q5 (high)
SCHRISK,0.0899745,29,Q5 (high)
ICTSCH,0.082355544,30,Q5 (high)
IMMIG,0.05348879,31,Q5 (high)
AGE,0.030868866,32,Q5 (high)
PAREDINT,0.02159754,33,Q5 (high)
