row_type,status,model,pv,task,metric,estimate,sampling_variance,training_seconds,peak_rss_delta,n_train,n_test,features,sample_weight,imputation_variance,total_variance,standard_error,ci_lower,ci_upper
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV5MATH,classification,calibration_slope,1.0233684112307448,0.00022849070998399459,118.46871920900014,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV5MATH,regression,rmse,66.19165625169727,0.1122675051778061,47.98486275000005,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV5MATH,regression,r2,0.5532830857999951,2.8979845246477527e-05,47.98486275000005,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV6MATH,classification,auc,0.869064277911426,8.828102074776097e-06,157.95203033400003,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV6MATH,classification,brier,0.14636286916796754,3.0286019384563603e-06,157.95203033400003,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV6MATH,classification,ece,0.008866751913816005,8.782346134439997e-06,157.95203033400003,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV6MATH,classification,calibration_slope,1.0326537504804718,0.00024222791190571175,157.95203033400003,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV6MATH,regression,rmse,66.284353094567,0.10774614187469334,34.46074900000008,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV6MATH,regression,r2,0.552258677418205,3.136325017195242e-05,34.46074900000008,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
pv_specific,FULL_DATA_CANDIDATE,EBM_additive,PV7MATH,classification,auc,0.871522555234879,8.176634386920371e-06,105.10859454199999,0.0,490995,122749,33,normalized W_FSTUWT,,,,,
