model,threshold_rule,threshold,auc,average_precision,f1,precision,recall,brier
logistic_l2,default_0.50,0.5,0.839539162352404,0.8525503507890082,0.7890119480582765,0.7482261347385915,0.8345005822881741,0.16351636582572096
logistic_l2,youden_j,0.588928122470166,0.839539162352404,0.8525503507890082,0.7735057647327518,0.7871412395166509,0.7603346545320432,0.16351636582572096
logistic_l2,max_f1,0.4612753929980358,0.839539162352404,0.8525503507890082,0.7912758591836069,0.7323155541672537,0.8605615238730449,0.16351636582572096
random_forest,default_0.50,0.5,0.869564184043774,0.8818395393851873,0.8079757211059333,0.7773536879601918,0.8411092559616482,0.14837548154742397
random_forest,youden_j,0.5845769007437178,0.869564184043774,0.8818395393851873,0.7915456649335005,0.8194116923323027,0.7655126031961517,0.14837548154742397
random_forest,max_f1,0.45788615675682026,0.869564184043774,0.8818395393851873,0.8103884550931586,0.7535059935520317,0.8765603370523345,0.14837548154742397
hist_gradient_boosting,default_0.50,0.5,0.8891016920890045,0.9016097746095089,0.816763207111152,0.8092213278885494,0.824446988292955,0.13477071389272124
hist_gradient_boosting,youden_j,0.5867105578675771,0.8891016920890045,0.9016097746095089,0.8048037798189046,0.845400178180642,0.7679276386310189,0.13477071389272124
hist_gradient_boosting,max_f1,0.34809965821719574,0.8891016920890045,0.9016097746095089,0.8254663409328752,0.7535847415558846,0.9125069267052612,0.13477071389272124
xgboost,default_0.50,0.5,0.8819120088355848,0.8946912195536239,0.8127208505184873,0.7997430496119747,0.8261267926441149,0.13922273463578713
xgboost,youden_j,0.5467897057533264,0.8819120088355848,0.8946912195536239,0.8056122825142297,0.8217189883682039,0.7901248605405554,0.13922273463578713
xgboost,max_f1,0.4136424660682678,0.8819120088355848,0.8946912195536239,0.8193471725383213,0.7654598837180234,0.8813962144031405,0.13922273463578713
lightgbm,default_0.50,0.5,0.8904069168397828,0.9027346052364357,0.8182900711847578,0.810603187945786,0.8261241383172021,0.13395120085213202
lightgbm,youden_j,0.5751642780475031,0.8904069168397828,0.9027346052364357,0.8080968489514637,0.8394013106554729,0.779043364221966,0.13395120085213202
lightgbm,max_f1,0.38272010253822963,0.8904069168397828,0.9027346052364357,0.8267953343126543,0.7660549712635003,0.89799738824521,0.13395120085213202
